alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,0.1,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,0
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.1,0.1,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,1
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,2
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.3,0.1,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,3
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.4,0.1,0.0,1.0133809807425052,0.06032531668938882,0.00633128479322881,89.5,0.39522256945853684,0.09209069142094758,17014.666666666704,0,1161,87641.0,4
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,0.05,0.013245226750040664,1.0306134603930905,0.06032531668938882,0.005331512014314927,91.16,0.3961395860953194,0.1000289599460033,17304.000000000036,1,1165,88147.0,5
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.05,0.013245226750040664,1.0306134603930905,0.06032531668938882,0.005331512014314927,91.16,0.3961395860953194,0.1000289599460033,17304.000000000036,1,1165,88147.0,6
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.1,0.05,0.013245226750040664,1.0306134603930905,0.06032531668938882,0.005331512014314927,91.16,0.3961395860953194,0.1000289599460033,17304.000000000036,1,1165,88147.0,7
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.3,0.05,0.013245226750040664,1.0306134603930905,0.06032531668938882,0.005331512014314927,91.16,0.3961395860953194,0.1000289599460033,17304.000000000036,1,1165,88147.0,8
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.4,0.05,0.013245226750040664,1.0306134603930905,0.06032531668938882,0.005331512014314927,91.16,0.3961395860953194,0.1000289599460033,17304.000000000036,1,1165,88147.0,9
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.3,0.15,0.02487326474515297,1.0318840579710133,0.06032531668938882,0.007765617899341056,87.13,0.3990592906228623,0.10751011294047336,17325.333333333358,1,1171,89254.0,10
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.4,0.15,0.02487326474515297,1.0318840579710133,0.06032531668938882,0.007765617899341056,87.13,0.3990592906228623,0.10751011294047336,17325.333333333358,1,1171,89254.0,11
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.1,0.15,0.02487326474515297,1.0318840579710133,0.06032531668938882,0.007765617899341056,87.13,0.3990592906228623,0.10751011294047336,17325.333333333358,1,1171,89254.0,12
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.15,0.02487326474515297,1.0318840579710133,0.06032531668938882,0.007765617899341056,87.13,0.3990592906228623,0.10751011294047336,17325.333333333358,1,1171,89254.0,13
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,0.15,0.02487326474515297,1.0318840579710133,0.06032531668938882,0.007765617899341056,87.13,0.3990592906228623,0.10751011294047336,17325.333333333358,1,1171,89254.0,14
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.3,0.0,0.0306369694619094,1.0325193567599757,0.06032531668938882,0.007230228215178368,88.01,0.4005011475292261,0.11069548425952509,17336.000000000036,1,1168,89347.0,15
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.1,0.0,0.0306369694619094,1.0325193567599757,0.06032531668938882,0.007230228215178368,88.01,0.4005011475292261,0.11069548425952509,17336.000000000036,1,1168,89347.0,16
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,0.0,0.0306369694619094,1.0325193567599757,0.06032531668938882,0.007230228215178368,88.01,0.4005011475292261,0.11069548425952509,17336.000000000036,1,1168,89347.0,17
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.4,0.0,0.0306369694619094,1.0325193567599757,0.06032531668938882,0.007230228215178368,88.01,0.4005011475292261,0.11069548425952509,17336.000000000036,1,1168,89347.0,18
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.0,0.0306369694619094,1.0325193567599757,0.06032531668938882,0.007230228215178368,88.01,0.4005011475292261,0.11069548425952509,17336.000000000036,1,1168,89347.0,19
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.2,0.06800472911407135,1.0367282112368463,0.06032531668938882,0.006826910787321063,88.68,0.39754623283823565,0.13104170809460147,17406.666666666693,1,1165,88460.0,20
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.1,0.2,0.06800472911407135,1.0367282112368463,0.06032531668938882,0.006826910787321063,88.68,0.39754623283823565,0.13104170809460147,17406.666666666693,1,1165,88460.0,21
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.0,0.2,0.06800472911407135,1.0367282112368463,0.06032531668938882,0.006826910787321063,88.68,0.39754623283823565,0.13104170809460147,17406.666666666693,1,1165,88460.0,22
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.3,0.2,0.06800472911407135,1.0367282112368463,0.06032531668938882,0.006826910787321063,88.68,0.39754623283823565,0.13104170809460147,17406.666666666693,1,1165,88460.0,23
0.45,0.2,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.4,0.2,0.06800472911407135,1.0367282112368463,0.06032531668938882,0.006826910787321063,88.68,0.39754623283823565,0.13104170809460147,17406.666666666693,1,1165,88460.0,24
